setting_name,w_sup,w_valid,w_base,w_risk,mean_rank,n_benchmarks,improved_count,hurt_count,average_delta,worst_negative_delta,candidate_new_default,note
wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,2.5,1.0,0.4,0.5,4.125,4,2,0,0.000750,0.000000,yes,
wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,1.5,1.0,0.4,0.5,3.375,4,3,1,0.002500,-0.001000,no,
wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,1.0,1.0,0.4,0.5,3.875,4,3,1,0.002000,-0.001000,no,
wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,3.0,1.0,0.4,0.5,4.875,4,1,0,0.000500,0.000000,no,
wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,2.0,0.25,0.4,0.5,4.875,4,1,0,0.000500,0.000000,no,
wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,2.0,0.5,0.4,0.5,4.875,4,1,0,0.000500,0.000000,no,
wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,2.0,1.5,0.4,0.5,5.750,4,1,0,0.000250,0.000000,no,
wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,2.0,1.0,0.4,0.5,6.125,4,0,0,0.000000,0.000000,no,default
wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,2.0,2.0,0.4,0.5,7.125,4,1,2,-0.000250,-0.001000,no,
