benchmark,n,varied_param,param_value,setting_name,w_sup,w_valid,w_base,w_risk,metric,score,delta_vs_default,changed_vs_default,default_wins,setting_wins,net_vs_default,changed_vs_frequency_only,setting_output_file,candidate_source,missing_diag_samples,missing_support_candidates
textvqa,1000,wvalid_2p0,wvalid_2p0,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,2.0,2.0,0.4,0.5,accuracy_proxy,0.770000,0.000000,6,1,1,0,49,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/full4param_9bench_full4p_20260503_033213/wvalid_2p0/wsup2p0_wvalid2p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,37
ocrvqa,1000,wvalid_2p0,wvalid_2p0,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,2.0,2.0,0.4,0.5,accuracy_proxy,0.608000,0.001000,1,0,1,1,39,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/full4param_9bench_full4p_20260503_033213/wvalid_2p0/wsup2p0_wvalid2p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,25
chartqa,1000,wvalid_2p0,wvalid_2p0,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,2.0,2.0,0.4,0.5,accuracy_proxy,0.712000,-0.001000,5,1,0,-1,41,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/full4param_9bench_full4p_20260503_033213/wvalid_2p0/wsup2p0_wvalid2p0_wbase0p4_wrisk0p5/chartqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_chartqa_n1000/diagnostics/v91nocf_samples.jsonl,0,83
ocrbench,1000,wvalid_2p0,wvalid_2p0,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,2.0,2.0,0.4,0.5,accuracy_proxy,0.705000,-0.001000,7,2,1,-1,50,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/full4param_9bench_full4p_20260503_033213/wvalid_2p0/wsup2p0_wvalid2p0_wbase0p4_wrisk0p5/ocrbench_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_ocrbench_n1000/diagnostics/v91nocf_samples.jsonl,0,90
