benchmark,setting_name,changed,default_wins,setting_wins,net
chartqa,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,5,2,1,-1
textvqa,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,17,3,4,1
ocrvqa,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,16,2,8,6
ocrbench,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,16,4,6,2
