benchmark,dataset,n,setting,w_sup,w_valid,w_base,w_risk,margin_tau,min_support,delta_over_default_tau,min_validity,base_ttaug_score,tuned_score,delta_tuned_minus_ttaug,changed_vs_ttaug,override_count,source_xlsx,source_diag,tuned_eval_input,block_counts
textvqa,TextVQA_VAL,200,m0p6_s0p75_d0p0,2.0,1.0,1.0,1.0,0.6,0.75,0.0,0.6,78.35,77.85,-0.5,1,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_textvqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200_spacecheck/official_eval_inputs/textvqa/m0p6_s0p75_d0p0/ttaug_backoff_TextVQA_VAL.xlsx,"{""same_as_default"": 19, ""too_few_candidates"": 70, ""space_block"": 95, ""low_margin"": 5, ""default_not_in_pool"": 1, ""low_support"": 9, ""override"": 1}"
ocrvqa,OCRVQA_TEST,200,m0p6_s0p75_d0p0,2.0,1.0,1.0,1.0,0.6,0.75,0.0,0.6,72.0,72.5,0.5,2,2,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_ocrvqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200_spacecheck/official_eval_inputs/ocrvqa/m0p6_s0p75_d0p0/ttaug_backoff_OCRVQA_TEST.xlsx,"{""too_few_candidates"": 96, ""low_support"": 11, ""space_block"": 75, ""same_as_default"": 15, ""override"": 2, ""low_margin"": 1}"
chartqa,ChartQA_TEST,200,m0p6_s0p75_d0p0,2.0,1.0,1.0,1.0,0.6,0.75,0.0,0.6,81.0,81.5,0.5,1,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_chartqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200_spacecheck/official_eval_inputs/chartqa/m0p6_s0p75_d0p0/ttaug_backoff_ChartQA_TEST.xlsx,"{""space_block"": 130, ""too_few_candidates"": 62, ""same_as_default"": 5, ""low_support"": 2, ""override"": 1}"
gqa,GQA_TestDev_Balanced,200,m0p6_s0p75_d0p0,2.0,1.0,1.0,1.0,0.6,0.75,0.0,0.6,56.99999999999999,57.49999999999999,0.5,1,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_gqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200_spacecheck/official_eval_inputs/gqa/m0p6_s0p75_d0p0/ttaug_backoff_GQA_TestDev_Balanced.xlsx,"{""too_few_candidates"": 85, ""space_block"": 80, ""low_support"": 14, ""same_as_default"": 14, ""low_margin"": 6, ""override"": 1}"
