benchmark,dataset,n,setting,w_sup,w_valid,w_base,w_risk,margin_tau,min_support,full_score,tuned_score,delta_tuned_minus_full,gate_pass_count,switch_count,blocked_space_count,source_xlsx,source_diag,tuned_eval_input
mme_rw,MME-RealWorld-Lite,1000,wB_g5,2.0,1.5,0.8,0.75,1.0,1.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wB_g5/wB_g5_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wB_g6,2.0,1.5,0.8,0.75,1.0,2.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wB_g6/wB_g6_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wC_g1,1.5,1.0,0.8,0.75,0.6,1.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wC_g1/wC_g1_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wC_g2,1.5,1.0,0.8,0.75,0.6,2.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wC_g2/wC_g2_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wC_g3,1.5,1.0,0.8,0.75,0.8,1.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wC_g3/wC_g3_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wC_g4,1.5,1.0,0.8,0.75,0.8,2.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wC_g4/wC_g4_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wC_g5,1.5,1.0,0.8,0.75,1.0,1.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wC_g5/wC_g5_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wC_g6,1.5,1.0,0.8,0.75,1.0,2.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wC_g6/wC_g6_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wD_g1,2.0,1.0,1.0,1.0,0.6,1.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wD_g1/wD_g1_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wD_g2,2.0,1.0,1.0,1.0,0.6,2.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wD_g2/wD_g2_MME-RealWorld-Lite.xlsx
