Benchmark,Metric,Baseline,Method,Delta,95% CI,p-value,Pairing status,Notes
ocrbench,Final Score Norm,73.70,72.50,-1.200,NA (aggregate only),NA,aggregate_only/aggregate_only,base:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_paper_ttaug_classical_ocrbench/TTAugClassical_SmolVLM2_2B/TTAugClassical_SmolVLM2_2B_OCRBench.xlsx; nocf:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_ocrbench/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRBench.xlsx
gqa,Overall,4.300,9.900,5.600,NA (aggregate only),NA,aggregate_only/aggregate_only,base:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_paper_ttaug_classical_gqa/TTAugClassical_SmolVLM2_2B/TTAugClassical_SmolVLM2_2B_GQA_TestDev_Balanced.xlsx; nocf:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_gqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_GQA_TestDev_Balanced.xlsx
textvqa,Overall,72.28,71.96,-0.3200,NA (aggregate only),NA,aggregate_only/aggregate_only,base:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_paper_ttaug_classical_textvqa/TTAugClassical_SmolVLM2_2B/TTAugClassical_SmolVLM2_2B_TextVQA_VAL.xlsx; nocf:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx
chartqa,Overall,75.30,76.30,1.000,NA (aggregate only),NA,aggregate_only/aggregate_only,base:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_paper_ttaug_classical_chartqa/TTAugClassical_SmolVLM2_2B/TTAugClassical_SmolVLM2_2B_ChartQA_TEST.xlsx; nocf:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx
ocrvqa,Overall,12.10,16.20,4.100,NA (aggregate only),NA,aggregate_only/aggregate_only,base:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_paper_ttaug_classical_ocrvqa/TTAugClassical_SmolVLM2_2B/TTAugClassical_SmolVLM2_2B_OCRVQA_TEST.xlsx; nocf:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_ocrvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRVQA_TEST.xlsx
ai2d,Overall,0.6840,0.6880,0.0040,"[-0.0100, 0.0190]",0.6294,paired:1000,base:TTAugClassical_SmolVLM2_2B_AI2D_TEST_openai_result.xlsx; nocf:V91NoCF_SmolVLM2_2B_AI2D_TEST_openai_result.xlsx
mme_rw,Overall,0.3090,0.3150,0.0060,NA (aggregate only),NA,aggregate_only/aggregate_only,base:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_paper_ttaug_classical_mme_rw/TTAugClassical_SmolVLM2_2B/TTAugClassical_SmolVLM2_2B_MME-RealWorld-Lite.xlsx; nocf:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_mme_rw/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_MME-RealWorld-Lite.xlsx
coco,ROUGE_L,15.78,18.77,2.990,NA (aggregate only),NA,aggregate_only/aggregate_only,base:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_paper_ttaug_classical_coco/TTAugClassical_SmolVLM2_2B/TTAugClassical_SmolVLM2_2B_COCO_VAL.xlsx; nocf:<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_coco/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_COCO_VAL.xlsx
amber,Avg ACC,74.29,74.70,0.4161,"[-0.0090, 0.0310]",0.307,paired:1000,base:TTAugClassical_SmolVLM2_2B_AMBER_auxmatch.xlsx; nocf:V91NoCF_SmolVLM2_2B_AMBER_auxmatch.xlsx
