benchmark,n,setting,w_sup,w_valid,w_base,w_risk,correct_count_proxy,score,full_score,delta_vs_full,changed_count_vs_full,full_wins_proxy,ablation_wins_proxy,net_gain_proxy,proxy_score,full_proxy_score,official_eval_used,official_eval_input,source_xlsx,source_diag
textvqa,1000,full_asca,2.0,1.0,0.4,0.5,733,71.960000,71.960000,0.000000,0,0,0,0,0.733000,0.733000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official_fixcheck/official_eval_inputs/textvqa/full_asca/full_asca_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_textvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
textvqa,1000,without_consistency_module,0.0,1.0,0.0,0.5,730,71.610000,71.960000,-0.350000,31,8,5,-3,0.730000,0.733000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official_fixcheck/official_eval_inputs/textvqa/without_consistency_module/without_consistency_module_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_textvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
textvqa,1000,without_answer_space_module,2.0,0.0,0.4,0.0,735,72.090000,71.960000,0.130000,5,0,2,2,0.735000,0.733000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official_fixcheck/official_eval_inputs/textvqa/without_answer_space_module/without_answer_space_module_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_textvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
