benchmark,n,varied_param,param_value,setting_name,w_sup,w_valid,w_base,w_risk,metric,score,delta_vs_default,official_default_score,official_nocf_default_score,official_routed_default_score,default_method,default_basis,proxy_score,proxy_default_score,changed_vs_default,default_wins,setting_wins,net_vs_default,changed_vs_frequency_only,setting_output_file,candidate_source,candidate_source_policy,default_source_cfg,missing_diag_samples,missing_support_candidates
chartqa,1000,w_valid,0.5,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,2.0,0.5,0.4,0.5,official_metric,56.400000,-19.900000,76.300000,76.300000,76.300000,nocf,nocf_official,0.713000,0.713000,3,0,0,0,40,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/groupA_nocf_wsup_wvalid_4bench_n1000_20260506_042418/wvalid_0.5/wsup2p0_wvalid0p5_wbase0p4_wrisk0p5/chartqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_chartqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_regen_chartqa_n1000,test_config_smolvlm2_v91_nocf_regen_chartqa,0,83
textvqa,1000,w_valid,0.5,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,2.0,0.5,0.4,0.5,official_metric,68.320000,-3.640000,71.960000,71.960000,72.080000,nocf,nocf_official,0.772000,0.770000,5,0,2,2,45,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/groupA_nocf_wsup_wvalid_4bench_n1000_20260506_042418/wvalid_0.5/wsup2p0_wvalid0p5_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_textvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_regen_textvqa_n1000,test_config_smolvlm2_v91_nocf_regen_textvqa,0,37
ocrvqa,1000,w_valid,0.5,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,2.0,0.5,0.4,0.5,official_metric,49.400000,33.200000,16.200000,16.200000,16.100000,nocf,nocf_official,0.607000,0.607000,0,0,0,0,38,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/groupA_nocf_wsup_wvalid_4bench_n1000_20260506_042418/wvalid_0.5/wsup2p0_wvalid0p5_wbase0p4_wrisk0p5/ocrvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_regen_ocrvqa_n1000,test_config_smolvlm2_v91_nocf_regen_ocrvqa,0,25
ocrbench,1000,w_valid,0.5,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,2.0,0.5,0.4,0.5,official_metric,54.300000,-18.200000,72.500000,72.500000,72.500000,nocf,nocf_official,0.706000,0.706000,4,1,1,0,45,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/groupA_nocf_wsup_wvalid_4bench_n1000_20260506_042418/wvalid_0.5/wsup2p0_wvalid0p5_wbase0p4_wrisk0p5/ocrbench_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrbench_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_regen_ocrbench_n1000,test_config_smolvlm2_v91_nocf_regen_ocrbench,0,90
