benchmark,dataset,n,setting,w_sup,w_valid,w_base,w_risk,margin_tau,min_support,full_score,tuned_score,delta_tuned_minus_full,gate_pass_count,switch_count,blocked_space_count,source_xlsx,source_diag,tuned_eval_input
chartqa,ChartQA_TEST,1000,wC_g1,1.5,1.0,0.8,0.75,0.3,0.25,82.6,82.5,-0.09999999999999432,93,8,894,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/chartqa/wC_g1/wC_g1_ChartQA_TEST.csv
chartqa,ChartQA_TEST,1000,wC_g2,1.5,1.0,0.8,0.75,0.6,0.25,82.6,82.5,-0.09999999999999432,91,7,894,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/chartqa/wC_g2/wC_g2_ChartQA_TEST.csv
chartqa,ChartQA_TEST,1000,wD_g1,2.0,1.0,1.0,1.0,0.3,0.25,82.6,82.5,-0.09999999999999432,93,8,894,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/chartqa/wD_g1/wD_g1_ChartQA_TEST.csv
chartqa,ChartQA_TEST,1000,wD_g2,2.0,1.0,1.0,1.0,0.6,0.25,82.6,82.5,-0.09999999999999432,91,7,894,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/chartqa/wD_g2/wD_g2_ChartQA_TEST.csv
gqa,GQA_TestDev_Balanced,1000,wA_g1,2.0,1.0,0.8,0.75,0.3,0.25,50.4,50.0,-0.3999999999999986,500,72,423,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/gqa/wA_g1/wA_g1_GQA_TestDev_Balanced.csv
gqa,GQA_TestDev_Balanced,1000,wA_g2,2.0,1.0,0.8,0.75,0.6,0.25,50.4,49.9,-0.5,474,58,423,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/gqa/wA_g2/wA_g2_GQA_TestDev_Balanced.csv
gqa,GQA_TestDev_Balanced,1000,wB_g1,2.0,1.5,0.8,0.75,0.3,0.25,50.4,50.0,-0.3999999999999986,500,72,423,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/gqa/wB_g1/wB_g1_GQA_TestDev_Balanced.csv
gqa,GQA_TestDev_Balanced,1000,wB_g2,2.0,1.5,0.8,0.75,0.6,0.25,50.4,49.9,-0.5,474,58,423,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/gqa/wB_g2/wB_g2_GQA_TestDev_Balanced.csv
gqa,GQA_TestDev_Balanced,1000,wC_g1,1.5,1.0,0.8,0.75,0.3,0.25,50.4,49.9,-0.5,517,97,423,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/gqa/wC_g1/wC_g1_GQA_TestDev_Balanced.csv
gqa,GQA_TestDev_Balanced,1000,wC_g2,1.5,1.0,0.8,0.75,0.6,0.25,50.4,49.9,-0.5,478,71,423,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/gqa/wC_g2/wC_g2_GQA_TestDev_Balanced.csv
gqa,GQA_TestDev_Balanced,1000,wD_g1,2.0,1.0,1.0,1.0,0.3,0.25,50.4,49.9,-0.5,517,97,423,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/gqa/wD_g1/wD_g1_GQA_TestDev_Balanced.csv
gqa,GQA_TestDev_Balanced,1000,wD_g2,2.0,1.0,1.0,1.0,0.6,0.25,50.4,49.9,-0.5,478,71,423,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/gqa/wD_g2/wD_g2_GQA_TestDev_Balanced.csv
