benchmark,n,groupA_full_asca_official,groupA_wo_consistency_official,groupA_delta_wo_consistency,groupA_wo_answer_space_official,groupA_delta_wo_answer_space,groupB_asca_only_official,groupB_all_cf_ungated_official,groupB_delta_allcf_vs_asca,groupA_changed_wo_consistency,groupA_changed_wo_answer_space,groupB_switch_count,notes
textvqa,1000,71.96,71.61,-0.35,72.09,+0.13,71.96,63.11,-8.85,31,5,121,All score columns are official metrics in percent scale; changed/switch are counts.
ocrvqa,1000,16.20,16.10,-0.10,16.20,+0.00,16.20,21.60,+5.40,15,0,331,All score columns are official metrics in percent scale; changed/switch are counts.
chartqa,1000,76.30,76.10,-0.20,76.20,-0.10,76.30,52.30,-24.00,39,3,325,All score columns are official metrics in percent scale; changed/switch are counts.
ocrbench,1000,72.50,71.30,-1.20,72.40,-0.10,72.50,54.70,-17.80,52,6,302,All score columns are official metrics in percent scale; changed/switch are counts.
