benchmark,dataset,n,setting,w_sup,w_valid,w_base,w_risk,margin_tau,min_support,delta_over_default_tau,min_validity,base_ttaug_score,tuned_score,delta_tuned_minus_ttaug,changed_vs_ttaug,override_count,source_xlsx,source_diag,tuned_eval_input,block_counts
ocrbench,OCRBench,1000,m1p0_s1p0_d0p0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6,83.7,83.7,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_ocrbench/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrbench_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_n1000_9b_stricter/official_eval_inputs/ocrbench/m1p0_s1p0_d0p0/ttaug_backoff_OCRBench.xlsx,"{""low_support"": 293, ""too_few_candidates"": 423, ""space_block"": 284}"
ocrbench,OCRBench,1000,m1p0_s1p0_d0p15,2.0,1.0,1.0,1.0,1.0,1.0,0.15,0.6,83.7,83.7,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_ocrbench/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrbench_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_n1000_9b_stricter/official_eval_inputs/ocrbench/m1p0_s1p0_d0p15/ttaug_backoff_OCRBench.xlsx,"{""low_support"": 293, ""too_few_candidates"": 423, ""space_block"": 284}"
ai2d,AI2D_TEST,1000,m0p6_s0p875_d0p0,2.0,1.0,1.0,1.0,0.6,0.875,0.0,0.6,0.805,0.805,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_ai2d/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_AI2D_TEST.xlsx,,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_n1000_9b_stricter/official_eval_inputs/ai2d/m0p6_s0p875_d0p0/ttaug_backoff_AI2D_TEST.xlsx,"{""missing_diag"": 1000}"
ai2d,AI2D_TEST,1000,m0p6_s0p875_d0p15,2.0,1.0,1.0,1.0,0.6,0.875,0.15,0.6,0.805,0.805,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_ai2d/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_AI2D_TEST.xlsx,,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_n1000_9b_stricter/official_eval_inputs/ai2d/m0p6_s0p875_d0p15/ttaug_backoff_AI2D_TEST.xlsx,"{""missing_diag"": 1000}"
ai2d,AI2D_TEST,1000,m0p6_s1p0_d0p0,2.0,1.0,1.0,1.0,0.6,1.0,0.0,0.6,0.805,0.805,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_ai2d/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_AI2D_TEST.xlsx,,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_n1000_9b_stricter/official_eval_inputs/ai2d/m0p6_s1p0_d0p0/ttaug_backoff_AI2D_TEST.xlsx,"{""missing_diag"": 1000}"
ai2d,AI2D_TEST,1000,m0p6_s1p0_d0p15,2.0,1.0,1.0,1.0,0.6,1.0,0.15,0.6,0.805,0.805,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_ai2d/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_AI2D_TEST.xlsx,,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_n1000_9b_stricter/official_eval_inputs/ai2d/m0p6_s1p0_d0p15/ttaug_backoff_AI2D_TEST.xlsx,"{""missing_diag"": 1000}"
ai2d,AI2D_TEST,1000,m0p8_s0p875_d0p0,2.0,1.0,1.0,1.0,0.8,0.875,0.0,0.6,0.805,0.805,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_ai2d/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_AI2D_TEST.xlsx,,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_n1000_9b_stricter/official_eval_inputs/ai2d/m0p8_s0p875_d0p0/ttaug_backoff_AI2D_TEST.xlsx,"{""missing_diag"": 1000}"
ai2d,AI2D_TEST,1000,m0p8_s0p875_d0p15,2.0,1.0,1.0,1.0,0.8,0.875,0.15,0.6,0.805,0.805,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_ai2d/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_AI2D_TEST.xlsx,,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_n1000_9b_stricter/official_eval_inputs/ai2d/m0p8_s0p875_d0p15/ttaug_backoff_AI2D_TEST.xlsx,"{""missing_diag"": 1000}"
ai2d,AI2D_TEST,1000,m0p8_s1p0_d0p0,2.0,1.0,1.0,1.0,0.8,1.0,0.0,0.6,0.805,0.805,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_ai2d/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_AI2D_TEST.xlsx,,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_n1000_9b_stricter/official_eval_inputs/ai2d/m0p8_s1p0_d0p0/ttaug_backoff_AI2D_TEST.xlsx,"{""missing_diag"": 1000}"
ai2d,AI2D_TEST,1000,m0p8_s1p0_d0p15,2.0,1.0,1.0,1.0,0.8,1.0,0.15,0.6,0.805,0.805,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_ai2d/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_AI2D_TEST.xlsx,,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_n1000_9b_stricter/official_eval_inputs/ai2d/m0p8_s1p0_d0p15/ttaug_backoff_AI2D_TEST.xlsx,"{""missing_diag"": 1000}"
