benchmark,n,varied_param,param_value,setting_name,w_sup,w_valid,w_base,w_risk,metric,score,delta_vs_default,changed_vs_default,default_wins,setting_wins,net_vs_default,changed_vs_frequency_only,setting_output_file,candidate_source,missing_diag_samples,missing_support_candidates
textvqa,1000,wbase_0p0,wbase_0p0,wsup2p0_wvalid1p0_wbase0p0_wrisk0p5,2.0,1.0,0.0,0.5,accuracy_proxy,0.771000,0.001000,29,6,7,1,29,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/full4param_9bench_full4p_20260503_033213/wbase_0p0/wsup2p0_wvalid1p0_wbase0p0_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,37
ocrvqa,1000,wbase_0p0,wbase_0p0,wsup2p0_wvalid1p0_wbase0p0_wrisk0p5,2.0,1.0,0.0,0.5,accuracy_proxy,0.605000,-0.002000,16,2,0,-2,24,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/full4param_9bench_full4p_20260503_033213/wbase_0p0/wsup2p0_wvalid1p0_wbase0p0_wrisk0p5/ocrvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,25
chartqa,1000,wbase_0p0,wbase_0p0,wsup2p0_wvalid1p0_wbase0p0_wrisk0p5,2.0,1.0,0.0,0.5,accuracy_proxy,0.711000,-0.002000,38,8,6,-2,32,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/full4param_9bench_full4p_20260503_033213/wbase_0p0/wsup2p0_wvalid1p0_wbase0p0_wrisk0p5/chartqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_chartqa_n1000/diagnostics/v91nocf_samples.jsonl,0,83
ocrbench,1000,wbase_0p0,wbase_0p0,wsup2p0_wvalid1p0_wbase0p0_wrisk0p5,2.0,1.0,0.0,0.5,accuracy_proxy,0.706000,0.000000,35,5,5,0,29,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/full4param_9bench_full4p_20260503_033213/wbase_0p0/wsup2p0_wvalid1p0_wbase0p0_wrisk0p5/ocrbench_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_ocrbench_n1000/diagnostics/v91nocf_samples.jsonl,0,90
