group	subset	stem	job_name	rc	stdout	stderr
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrbench	a2r-no_length_risk_ocrbench	0	Submitted batch job 7585831	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrvqa	a2r-no_length_risk_ocrvqa	0	Submitted batch job 7585832	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_textvqa	a2r-no_length_risk_textvqa	0	Submitted batch job 7585837	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_frequency_only_chartqa	a1r-frequency_only_chartqa	0	Submitted batch job 7585838	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_frequency_only_gqa	a1r-frequency_only_gqa	0	Submitted batch job 7585849	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_frequency_only_ocrbench	a1r-frequency_only_ocrbench	0	Submitted batch job 7585850	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_frequency_only_ocrvqa	a1r-frequency_only_ocrvqa	0	Submitted batch job 7585855	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_frequency_only_textvqa	a1r-frequency_only_textvqa	0	Submitted batch job 7585857	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_majority_vote_chartqa	a1r-majority_vote_chartqa	0	Submitted batch job 7585861	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_majority_vote_gqa	a1r-majority_vote_gqa	0	Submitted batch job 7585862	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_majority_vote_ocrbench	a1r-majority_vote_ocrbench	0	Submitted batch job 7585870	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_majority_vote_ocrvqa	a1r-majority_vote_ocrvqa	0	Submitted batch job 7585871	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_majority_vote_textvqa	a1r-majority_vote_textvqa	0	Submitted batch job 7585878	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_chartqa	a1r-no_base_bias_chartqa	0	Submitted batch job 7585879	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_gqa	a1r-no_base_bias_gqa	0	Submitted batch job 7585885	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_ocrbench	a1r-no_base_bias_ocrbench	0	Submitted batch job 7585886	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_ocrvqa	a1r-no_base_bias_ocrvqa	0	Submitted batch job 7585897	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_textvqa	a1r-no_base_bias_textvqa	0	Submitted batch job 7585898	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_format_chartqa	a1r-no_format_chartqa	0	Submitted batch job 7585917	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_format_gqa	a1r-no_format_gqa	0	Submitted batch job 7585943	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_format_ocrbench	a1r-no_format_ocrbench	0	Submitted batch job 7585944	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa	a1r-no_format_ocrvqa	0	Submitted batch job 7585952	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa	a1r-no_format_textvqa	0	Submitted batch job 7585953	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_chartqa	a1r-no_length_risk_chartqa	0	Submitted batch job 7585966	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_gqa	a1r-no_length_risk_gqa	0	Submitted batch job 7585967	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrbench	a1r-no_length_risk_ocrbench	0	Submitted batch job 7585973	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrvqa	a1r-no_length_risk_ocrvqa	0	Submitted batch job 7585974	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_textvqa	a1r-no_length_risk_textvqa	0	Submitted batch job 7585994	
